"","Gene","Target","ex2_GFP_Rep1_Chip21","ex2_GFP_Rep2_Chip21","ex2_GFP_polyIC_Rep1_Chip21","ex2_GFP_polyIC_Rep2_Chip21","ex2_NS5_Rep1_Chip21","ex2_NS5_Rep2_Chip21","ex2_NS5_polyIC_Rep1_Chip21","ex2_NS5_polyIC_Rep2_Chip21","COSMIC_CGC_FLAG","NCBI_NAME","HGNC_SYMBOL_ACC","ENTREZ_GENE_ID","U133PLUS2_PSID","MIM_MORBID_DESCRIPTION"
"CRLF2","CRLF2","AMPL36903702",13,14,5,20,19,18,12,12,1,"cytokine_receptor-like_factor_2","14281","64109",".","."
"CRLF3","CRLF3","AMPL31698311",126,134,153,165,151,188,154,167,0,"cytokine_receptor-like_factor_3","17177","51379","205474_at","."
"CRLS1","CRLS1","AMPL31042489",527,533,486,415,545,581,634,479,0,"cardiolipin_synthase_1","16148","54675","223978_s_at,225324_at,241741_at","."
"CRNKL1","CRNKL1","AMPL31232370",198,222,218,232,231,202,213,225,0,"crooked_neck_pre-mRNA_splicing_factor_1","15762","51340","219913_s_at","."
"CROT","CROT","AMPL36425710",54,43,13,18,48,37,23,24,0,"carnitine_O-octanoyltransferase","2366","54677","204573_at,231102_at","."
"CRTAP","CRTAP","AMPL26920402",691,832,549,425,697,808,511,498,0,"cartilage_associated_protein","2379","100653071,10491","1554464_a_at,1555889_a_at,201380_at,226656_at,227138_at","OSTEOGENESIS_IMPERFECTA__TYPE_VII__OI7"
"CRTC1","CRTC1","AMPL5500076",27,23,29,20,30,31,13,24,0,"CREB_regulated_transcription_coactivator_1","16062","23373","207159_x_at,213091_at","."
"CRTC2","CRTC2","AMPL15890574",125,119,146,131,123,131,120,124,0,"CREB_regulated_transcription_coactivator_2","27301","200186","226307_at","."
"CRTC3","CRTC3","AMPL36384227",148,134,234,174,181,204,116,167,1,"CREB_regulated_transcription_coactivator_3","26148","64784","218648_at,232879_at","."
"CRY1","CRY1","AMPL29904863",76,68,96,83,67,61,105,110,0,"cryptochrome_1__photolyase-like","2384","1407","209674_at","."
"CRY2","CRY2","AMPL36856578",49,39,44,50,43,64,28,34,0,"cryptochrome_2__photolyase-like","2385","1408","212695_at","."
"CRYAB","CRYAB","AMPL11709675",28,38,8,11,25,19,23,24,0,"crystallin__alpha_B","2389","1410","209283_at","CARDIOMYOPATHY__DILATED__1II__CMD1II,CATARACT_16__MULTIPLE_TYPES__CTRCT16,MYOPATHY__MYOFIBRILLAR__2__MFM2,MYOPATHY__MYOFIBRILLAR__FATAL_INFANTILE_HYPERTONIC__ALPHA-B_CRYSTALLIN-RELATED"
"CRYL1","CRYL1","AMPL32394693",26,36,13,18,24,19,20,14,0,"crystallin__lambda_1","18246","51084","220753_s_at","."
"CRYM","CRYM","AMPL10167303",35,26,12,10,16,15,16,11,0,"crystallin__mu","2418","1428","205489_at","."
"CRYZ","CRYZ","AMPL7369620",491,485,218,238,348,373,417,348,0,"crystallin__zeta__quinone_reductase","2419","1429","202950_at","."
"CRYZL1","CRYZL1","AMPL34250749",180,192,198,201,219,232,268,286,0,"crystallin__zeta__quinone_reductase_-like_1","2420","9946","1552347_at,1554767_s_at,1560609_at,219767_s_at,226151_x_at","."
"CS","CS","AMPL28681724",177,211,171,176,188,159,149,138,0,"citrate_synthase","2422","1431","208660_at","."
"CSAG1","CSAG1","AMPL5621455",10,9,4,10,8,5,12,17,0,"chondrosarcoma_associated_gene_1","24294","158511,389903,728461",".","."
"CSDA","CSDA","AMPL10552816",725,726,592,568,698,620,672,752,0,".",".",".",".","."
"CSDAP1","CSDAP1","AMPL19130028",9,6,2,2,17,5,11,13,0,".",".",".",".","."
"CSE1L","CSE1L","AMPL7983827",951,1015,987,917,1071,977,1132,1651,0,"CSE1_chromosome_segregation_1-like__yeast","2431","1434","201111_at,201112_s_at,210766_s_at","."
"CSF1","CSF1","AMPL5629117",263,237,498,568,447,495,277,341,0,"colony_stimulating_factor_1__macrophage","2432","1435","207082_at,209716_at,210557_x_at,211839_s_at","."
"CSF2RA","CSF2RA","AMPL8507620",34,44,38,19,53,37,24,22,0,"colony_stimulating_factor_2_receptor__alpha__low-affinity__granulocyte-macrophage","2435","1438","207085_x_at,210340_s_at,211286_x_at,211287_x_at","SURFACTANT_METABOLISM_DYSFUNCTION__PULMONARY__4__SMDP4"
"CSGALNACT1","CSGALNACT1","AMPL30603323",23,24,20,4,15,13,7,13,0,"chondroitin_sulfate_N-acetylgalactosaminyltransferase_1","24290","55790","219049_at","."
"CSGALNACT2","CSGALNACT2","AMPL32060056",87,128,123,124,124,126,151,146,0,"chondroitin_sulfate_N-acetylgalactosaminyltransferase_2","24292","55454","218871_x_at,222235_s_at,239077_at","."
"CSK","CSK","AMPL1598217",158,145,208,165,144,128,134,153,0,"c-src_tyrosine_kinase","2444","1445","202329_at","."
"CSNK1A1","CSNK1A1","AMPL2864923",1216,1514,1096,930,1359,1250,999,1112,0,"casein_kinase_1__alpha_1","2451","1452","1556006_s_at,206562_s_at,208865_at,208866_at,208867_s_at,213086_s_at,213860_x_at","."
"CSNK1D","CSNK1D","AMPL7895090",689,786,858,782,870,821,687,793,0,"casein_kinase_1__delta","2452","1453","207945_s_at,208774_at,213522_s_at,217685_at","ADVANCED_SLEEP_PHASE_SYNDROME__FAMILIAL__2__FASPS2"
"CSNK1E","CSNK1E","AMPL10164164",174,213,225,185,193,156,139,163,0,"casein_kinase_1__epsilon","2453","1454","202332_at,222015_at,225756_at,226858_at","."
"CSNK1G1","CSNK1G1","AMPL36534149",127,93,140,137,145,125,100,111,0,"casein_kinase_1__gamma_1","2454","53944","220640_at,221673_s_at,226888_at,231920_s_at","."
"CSNK1G2","CSNK1G2","AMPL10608445",105,113,100,106,123,92,61,92,0,"casein_kinase_1__gamma_2","2455","1455","202573_at,202574_s_at","."
"CSNK2A1","CSNK2A1","AMPL8938511",370,389,497,552,580,448,404,448,0,"casein_kinase_2__alpha_1_polypeptide","2457","1457","1567014_s_at,206075_s_at,212072_s_at,212073_at,212075_s_at","."
"CSNK2A2","CSNK2A2","AMPL11571129",479,667,653,728,690,855,760,859,0,"casein_kinase_2__alpha_prime_polypeptide","2459","1459","203575_at,224922_at","."
"CSNK2B","CSNK2B","AMPL10820905",674,644,607,536,690,579,707,785,0,"casein_kinase_2__beta_polypeptide","2460","1460","201390_s_at","."
"CSRNP1","CSRNP1","AMPL17839072",67,88,151,133,119,72,55,59,0,"cysteine-serine-rich_nuclear_protein_1","14300","64651","225557_at","."
"CSRNP2","CSRNP2","AMPL13889533",54,47,43,62,56,43,39,43,0,"cysteine-serine-rich_nuclear_protein_2","16006","81566","221260_s_at,225042_s_at","."
"CSRP1","CSRP1","AMPL8571211",633,792,541,500,859,831,603,458,0,"cysteine_and_glycine-rich_protein_1","2469","1465","200621_at","."
"CSRP2","CSRP2","AMPL8139960",99,115,65,80,101,56,65,82,0,"cysteine_and_glycine-rich_protein_2","2470","1466","207030_s_at,211126_s_at","."
"CSRP2BP","CSRP2BP","AMPL32005025",50,68,49,46,45,48,31,38,0,"CSRP2_binding_protein","15904","100303755,57325","225432_s_at,228543_at,228544_s_at,233396_s_at","."
"CST1","CST1","AMPL11906738",25,32,8,2,14,6,8,5,0,"cystatin_SN","2473","1469","206224_at","."
"CST3","CST3","AMPL5803464",1979,1931,1927,1744,3058,2527,1783,2320,0,"cystatin_C","2475","1471","201360_at,230343_at,237623_at","CEREBRAL_AMYLOID_ANGIOPATHY__CST3-RELATED,MACULAR_DEGENERATION__AGE-RELATED__11__ARMD11"
"CSTB","CSTB","AMPL1654496",1102,1178,987,847,1226,1029,1008,960,0,"cystatin_B__stefin_B","2482","1476","201201_at,236449_at","MYOCLONIC_EPILEPSY_OF_UNVERRICHT_AND_LUNDBORG"
"CSTF1","CSTF1","AMPL397878",101,84,102,100,75,81,123,147,0,"cleavage_stimulation_factor__3p_pre-RNA__subunit_1__50kDa","2483","1477","202190_at,32723_at","."
"CSTF2","CSTF2","AMPL11932083",197,226,211,216,182,205,257,290,0,"cleavage_stimulation_factor__3p_pre-RNA__subunit_2__64kDa","2484","1478","204459_at,238821_at","."
"CSTF2T","CSTF2T","AMPL25372125",93,95,167,166,107,121,81,89,0,"cleavage_stimulation_factor__3p_pre-RNA__subunit_2__64kDa__tau_variant","17086","23283","212901_s_at,212905_at","."
"CSTF3","CSTF3","AMPL7787313",114,155,142,137,177,170,195,210,0,"cleavage_stimulation_factor__3p_pre-RNA__subunit_3__77kDa","2485","1479","203947_at,229665_at,229666_s_at","."
"CTAGE5","CTAGE5","AMPL29535792",309,257,198,201,234,254,296,257,0,"CTAGE_family__member_5","7057","4253","204055_s_at,215930_s_at","."
"CTBP1","CTBP1","AMPL7974282",334,274,322,372,337,305,300,304,0,"C-terminal_binding_protein_1","2494","1487","1557714_at,203392_s_at,212863_x_at,213980_s_at","."
"CTBP2","CTBP2","AMPL34972921",494,534,385,327,429,415,562,506,0,"C-terminal_binding_protein_2","2495","1488","201218_at,201219_at,201220_x_at,210554_s_at,210835_s_at","."
"CTBS","CTBS","AMPL29161762",102,98,98,72,101,122,84,79,0,"chitobiase__di-N-acetyl-","2496","1486","218923_at,218924_s_at","."
"CTC1","CTC1","AMPL14731595",50,75,51,60,83,48,24,49,0,"CTS_telomere_maintenance_complex_component_1","26169","80169","219435_at,235523_at,240875_at","CEREBRORETINAL_MICROANGIOPATHY_WITH_CALCIFICATIONS_AND_CYSTS__CRMCC"
"CTCF","CTCF","AMPL13507696",231,253,277,273,230,263,249,226,0,"CCCTC-binding_factor__zinc_finger_protein","13723","10664","202521_at","."
"CTDNEP1","CTDNEP1","AMPL4477712",1575,1372,1535,1400,1370,1266,1862,1821,0,"CTD_nuclear_envelope_phosphatase_1","19085","23399","200035_at","."
"CTDP1","CTDP1","AMPL28889487",46,37,70,69,53,47,39,35,0,"CTD__carboxy-terminal_domain__RNA_polymerase_II__polypeptide_A__phosphatase__subunit_1","2498","9150","205035_at","CONGENITAL_CATARACTS__FACIAL_DYSMORPHISM__AND_NEUROPATHY"
"CTDSP1","CTDSP1","AMPL36746522",344,344,452,406,437,356,276,307,0,"CTD__carboxy-terminal_domain__RNA_polymerase_II__polypeptide_A__small_phosphatase_1","21614","58190","217844_at","."
"CTDSP2","CTDSP2","AMPL27820592",117,101,135,144,101,151,122,73,0,"CTD__carboxy-terminal_domain__RNA_polymerase_II__polypeptide_A__small_phosphatase_2","17077","10106","1568706_s_at,203445_s_at,208735_s_at,238999_at","."
"CTDSPL","CTDSPL","AMPL1519776",9,15,4,8,10,14,7,4,0,"CTD__carboxy-terminal_domain__RNA_polymerase_II__polypeptide_A__small_phosphatase-like","16890","10217","201904_s_at,201905_s_at,201906_s_at","."
"CTDSPL2","CTDSPL2","AMPL32828908",83,102,81,108,87,85,77,63,0,"CTD__carboxy-terminal_domain__RNA_polymerase_II__polypeptide_A__small_phosphatase_like_2","26936","51496","1555106_a_at,223270_at,223271_s_at,239133_at","."
"CTGF","CTGF","AMPL11335505",193,247,167,179,240,238,252,265,0,"connective_tissue_growth_factor","2500","1490","209101_at","."
"CTH","CTH","AMPL8239913",10,11,14,16,8,14,17,20,0,"cystathionase__cystathionine_gamma-lyase","2501","1491","206085_s_at,217127_at","CYSTATHIONINURIA"
"CTIF","CTIF","AMPL4812340",44,29,43,36,51,61,23,16,0,"CBP80_20-dependent_translation_initiation_factor","23925","9811","204302_s_at,204303_s_at","."
"CTNNA1","CTNNA1","AMPL11906814",1260,1357,1059,987,1491,1459,815,919,0,"catenin__cadherin-associated_protein__alpha_1__102kDa","2509","1495","1558214_s_at,200764_s_at,200765_x_at,210844_x_at,215883_at","."
"CTNNAL1","CTNNAL1","AMPL9265538",172,212,184,166,217,243,203,168,0,"catenin__cadherin-associated_protein__alpha-like_1","2512","8727","202468_s_at","."
"CTNNB1","CTNNB1","AMPL10735165",1188,1321,981,986,1484,1488,900,970,1,"catenin__cadherin-associated_protein__beta_1__88kDa","2514","1499","1554411_at,201533_at,223679_at","COLORECTAL_CANCER__CRC,MEDULLOBLASTOMA__MDB,MENTAL_RETARDATION__AUTOSOMAL_DOMINANT_19__MRD19,MESOTHELIOMA__MALIGNANT__MESOM,OVARIAN_CANCER,PILOMATRIXOMA,SALIVARY_GLAND_ADENOMA__PLEOMORPHIC"
"CTNNBIP1","CTNNBIP1","AMPL512557",47,30,23,20,36,32,28,21,0,"catenin__beta_interacting_protein_1","16913","56998","203081_at","."
"CTNNBL1","CTNNBL1","AMPL14713756",367,413,603,478,490,419,824,926,0,"catenin__beta_like_1","15879","56259","221021_s_at","."
"CTNND1","CTNND1","AMPL5077821",213,243,192,173,192,145,105,123,0,"catenin__cadherin-associated_protein__delta_1","2515","1500","1557944_s_at,208407_s_at,208862_s_at,211240_x_at","."
"CTNS","CTNS","AMPL2831962",23,25,29,44,45,42,28,29,0,"cystinosin__lysosomal_cystine_transporter","2518","1497","204925_at,36566_at","CYSTINOSIS__ADULT_NONNEPHROPATHIC,CYSTINOSIS__LATE-ONSET_JUVENILE_OR_ADOLESCENT_NEPHROPATHIC_TYPE,CYSTINOSIS__NEPHROPATHIC__CTNS"
"CTPS1","CTPS1","AMPL7201391",825,916,663,685,914,773,744,850,0,"CTP_synthase_1","2519","1503","202613_at","."
"CTPS2","CTPS2","AMPL34097696",162,179,143,131,149,165,132,162,0,"CTP_synthase_2","2520","56474","219080_s_at,222819_at","."
"CTR9","CTR9","AMPL24326824",175,169,156,146,204,219,174,167,0,"CTR9__Paf1_RNA_polymerase_II_complex_component","16850","9646","200833_s_at,202060_at","."
"CTRL","CTRL","AMPL9983560",14,15,26,14,14,8,13,16,0,"chymotrypsin-like","2524","1506","214377_s_at","."
"CTSA","CTSA","AMPL4369690",319,331,231,278,268,396,360,231,0,"cathepsin_A","9251","5476","200661_at","GALACTOSIALIDOSIS__GSL"
"CTSB","CTSB","AMPL9485462",636,683,390,418,580,831,653,525,0,"cathepsin_B","2527","1508","200838_at,200839_s_at,213274_s_at,213275_x_at,227961_at","."
"CTSC","CTSC","AMPL11082185",197,169,157,155,209,181,190,178,0,"cathepsin_C","2528","1075","201487_at,225646_at,225647_s_at,231234_at","HAIM-MUNK_SYNDROME__HMS,PAPILLON-LEFEVRE_SYNDROME__PALS,PERIODONTITIS__AGGRESSIVE__1"
"CTSD","CTSD","AMPL11702251",1518,1415,972,866,1466,1356,642,677,0,"cathepsin_D","2529","1509","200766_at","CEROID_LIPOFUSCINOSIS__NEURONAL__10__CLN10"
"CTSF","CTSF","AMPL11364229",112,89,54,67,100,75,70,60,0,"cathepsin_F","2531","8722","203657_s_at","CEROID_LIPOFUSCINOSIS__NEURONAL__13__CLN13"
"CTSH","CTSH","AMPL28782707",73,75,32,31,77,63,44,59,0,"cathepsin_H","2535","1512","202295_s_at","."
"CTSL1","CTSL1","AMPL11907187",3160,3489,4878,4688,3219,3667,6728,5893,0,".",".",".",".","."
"CTSL2","CTSL2","AMPL8502736",30,28,28,20,36,35,36,33,0,".",".",".",".","."
"CTSS","CTSS","AMPL29536018",92,92,207,176,211,215,308,300,0,"cathepsin_S","2545","1520","202901_x_at,202902_s_at,232617_at","."
"CTSZ","CTSZ","AMPL9187882",308,371,288,289,349,480,452,433,0,"cathepsin_Z","2547","1522","210042_s_at","."
"CTTN","CTTN","AMPL9049126",589,606,490,378,587,556,326,331,0,"cortactin","3338","2017","201059_at,214073_at,214074_s_at","."
"CTTNBP2NL","CTTNBP2NL","AMPL31070651",137,105,111,100,99,115,84,83,0,"CTTNBP2_N-terminal_like","25330","55917","226000_at,231822_at,239525_at","."
"CTU1","CTU1","AMPL36279075",20,9,26,25,13,14,13,18,0,"cytosolic_thiouridylase_subunit_1","29590","90353",".","."
"CTU2","CTU2","AMPL508872",21,28,27,27,23,25,18,26,0,"cytosolic_thiouridylase_subunit_2_homolog__S._pombe","28005","348180","226410_at","."
"CUEDC1","CUEDC1","AMPL33926604",260,273,330,297,332,309,185,221,0,"CUE_domain_containing_1","31350","404093","219468_s_at,227667_at","."
"CUEDC2","CUEDC2","AMPL36885055",30,30,22,20,26,22,25,20,0,"CUE_domain_containing_2","28352","79004","218097_s_at","."
"CUL1","CUL1","AMPL8209755",557,540,434,485,521,566,749,914,0,"cullin_1","2551","8454","207614_s_at","."
"CUL2","CUL2","AMPL10632115",160,199,162,157,210,193,169,160,0,"cullin_2","2552","8453","203078_at,203079_s_at","."
"CUL3","CUL3","AMPL10087272",383,431,388,304,422,447,292,376,0,"cullin_3","2553","8452","201370_s_at,201371_s_at,201372_s_at,242362_at","PSEUDOHYPOALDOSTERONISM__TYPE_IIE__PHA2E"
"CUL4A","CUL4A","AMPL1136065",44,51,47,30,45,23,25,37,0,"cullin_4A","2554","8451","201423_s_at,201424_s_at,227757_at,242194_at","."
"CUL4B","CUL4B","AMPL9099535",375,423,319,343,462,481,492,481,0,"cullin_4B","2555","8450","202213_s_at,202214_s_at,210257_x_at,215997_s_at","MENTAL_RETARDATION__X-LINKED__WITH_SHORT_STATURE__HYPOGONADISM__AND"
"CUL5","CUL5","AMPL10893800",124,133,95,116,89,157,92,78,0,"cullin_5","2556","8065","203531_at,203532_x_at,203533_s_at","."
"CUL7","CUL7","AMPL8465379",32,36,22,30,27,30,16,20,0,"cullin_7","21024","9820","203558_at,241747_s_at,36084_at","THREE_M_SYNDROME_1__3M1"
"CUL9","CUL9","AMPL25039048",21,15,27,18,20,28,14,21,0,"cullin_9","15982","23113","213204_at,213871_s_at,236392_at","."
"CUTA","CUTA","AMPL109580",566,583,436,478,713,508,516,643,0,"cutA_divalent_cation_tolerance_homolog__E._coli","21101","51596","221488_s_at","."
"CUTC","CUTC","AMPL33543742",133,119,110,128,114,105,172,213,0,"cutC_copper_transporter","24271","51076","218970_s_at","."
"CUX1","CUX1","AMPL17328655",167,138,184,159,162,143,85,123,0,"cut-like_homeobox_1","2557","1523","202367_at,214743_at,225935_at,225937_at,227069_at","."
"CWC15","CWC15","AMPL33632766",244,265,265,205,218,171,304,475,0,"CWC15_spliceosome-associated_protein_homolog__S._cerevisiae","26939","51503","223067_at","."
"CWC22","CWC22","AMPL35028388",146,158,146,173,154,276,223,211,0,"CWC22_spliceosome-associated_protein_homolog__S._cerevisiae","29322","57703","226588_at","."
"CWC25","CWC25","AMPL30785640",131,116,165,135,140,125,146,154,0,"CWC25_spliceosome-associated_protein_homolog__S._cerevisiae","25989","54883","218655_s_at,222706_at","."
"CWC27","CWC27","AMPL27455331",260,339,275,196,330,358,304,311,0,"CWC27_spliceosome-associated_protein_homolog__S._cerevisiae","10664","10283","1555495_a_at,223337_at","."
"CWF19L1","CWF19L1","AMPL31092955",73,85,100,90,86,79,72,88,0,"CWF19-like_1__cell_cycle_control__S._pombe","25613","55280","218787_x_at,229038_at,233568_x_at","."
"CWF19L2","CWF19L2","AMPL35052307",41,64,53,45,57,97,62,57,0,"CWF19-like_2__cell_cycle_control__S._pombe","26508","143884","228916_at,237040_at","."
"CXADR","CXADR","AMPL10988558",111,111,85,85,111,103,75,89,0,"coxsackie_virus_and_adenovirus_receptor","2559","1525","1555716_a_at,203917_at,226374_at,239155_at","."
"CXCL1","CXCL1","AMPL10036932",31,23,201,177,52,48,178,180,0,"chemokine__C-X-C_motif__ligand_1__melanoma_growth_stimulating_activity__alpha","4602","2919","204470_at","."
"CXCL10","CXCL10","AMPL7406108",13,10,155,143,75,63,194,191,0,"chemokine__C-X-C_motif__ligand_10","10637","3627","204533_at","."
"CXCL11","CXCL11","AMPL29784566",4,6,59,55,22,16,65,42,0,"chemokine__C-X-C_motif__ligand_11","10638","6373","211122_s_at","."
"CXCL16","CXCL16","AMPL35863455",78,61,100,75,72,85,99,82,0,"chemokine__C-X-C_motif__ligand_16","16642","58191","223454_at","."
"CXCL2","CXCL2","AMPL8737386",58,53,382,417,140,123,317,352,0,"chemokine__C-X-C_motif__ligand_2","4603","2920","1569203_at,209774_x_at","."
"CXCL3","CXCL3","AMPL10709019",30,54,215,201,83,61,204,234,0,"chemokine__C-X-C_motif__ligand_3","4604","2921","207850_at","."
"CXCL5","CXCL5","AMPL7437425",549,578,1579,1507,946,1077,2063,2109,0,"chemokine__C-X-C_motif__ligand_5","10642","6374","214974_x_at,215101_s_at","."
"CXCR4","CXCR4","AMPL6993127",2,2,12,16,4,6,24,13,0,"chemokine__C-X-C_motif__receptor_4","2561","7852","209201_x_at,211919_s_at,217028_at","WHIM_SYNDROME"
"CXorf23","CXorf23","AMPL21529380",12,19,15,14,26,18,16,11,0,"chromosome_X_open_reading_frame_23","27413","256643","232087_at","."
"CXorf26","CXorf26","AMPL30918280",142,167,140,128,113,154,203,194,0,".",".",".",".","."
"CXorf38","CXorf38","AMPL35855845",72,80,114,68,119,100,74,129,0,"chromosome_X_open_reading_frame_38","28589","159013","202612_s_at,230532_at","."
"CXorf40A","CXorf40A","AMPL10524210",31,22,18,17,28,16,18,20,0,"chromosome_X_open_reading_frame_40A","28089","91966","212961_x_at,213315_x_at,214112_s_at,228809_at","."
"CXorf40B","CXorf40B","AMPL110316",66,94,82,85,52,85,98,108,0,"chromosome_X_open_reading_frame_40B","17402","541578","212961_x_at,213315_x_at,214112_s_at,228809_at","."
"CXorf56","CXorf56","AMPL37222365",162,156,137,153,179,146,177,167,0,"chromosome_X_open_reading_frame_56","26239","63932","219805_at,235442_at","."
"CXXC5","CXXC5","AMPL33740472",98,95,39,50,60,61,53,55,0,"CXXC_finger_protein_5","26943","51523","222996_s_at,224516_s_at,233955_x_at","."
"CYB561D2","CYB561D2","AMPL12854357",15,8,10,14,8,9,8,16,0,"cytochrome_b561_family__member_D2","30253","11068","209665_at","."
"CYB5A","CYB5A","AMPL34651448",227,234,222,171,199,173,249,279,0,"cytochrome_b5_type_A__microsomal","2570","1528","207843_x_at,209366_x_at,215726_s_at","METHEMOGLOBINEMIA_TYPE_IV"
"CYB5B","CYB5B","AMPL15430289",2900,2780,2236,2173,2577,2048,2470,2879,0,"cytochrome_b5_type_B__outer_mitochondrial_membrane","24374","80777","201633_s_at,201634_s_at,227382_at,238554_at","."
"CYB5D1","CYB5D1","AMPL35644392",32,36,41,34,32,41,24,26,0,"cytochrome_b5_domain_containing_1","26516","124637","1552711_a_at,226833_at","."
"CYB5D2","CYB5D2","AMPL34266061",71,57,35,27,61,61,39,32,0,"cytochrome_b5_domain_containing_2","28471","124936","225804_at","."
"CYB5R1","CYB5R1","AMPL31483140",122,121,66,75,116,134,89,84,0,"cytochrome_b5_reductase_1","13397","51706","1560043_at,202263_at","."
"CYB5R4","CYB5R4","AMPL30927302",46,44,36,36,48,52,55,60,0,"cytochrome_b5_reductase_4","20147","51167","219079_at,240020_at","."
"CYB5RL","CYB5RL","AMPL961909",5,8,11,12,5,10,5,6,0,"cytochrome_b5_reductase-like","32220","606495","220033_at,229605_at,235991_at,235992_s_at,238280_at","."
"CYBA","CYBA","AMPL5483900",432,464,275,226,394,292,217,243,0,"cytochrome_b-245__alpha_polypeptide","2577","1535","203028_s_at","GRANULOMATOUS_DISEASE__CHRONIC__AUTOSOMAL_RECESSIVE__CYTOCHROME_b-NEGATIVE"
"CYBASC3","CYBASC3","AMPL10581383",147,116,111,62,113,82,48,53,0,".",".",".",".","."
"CYBRD1","CYBRD1","AMPL15065157",255,297,178,208,331,381,212,237,0,"cytochrome_b_reductase_1","20797","79901","217889_s_at,222453_at","."
"CYC1","CYC1","AMPL9100569",1313,1405,1356,1245,1185,1067,1575,1595,0,"cytochrome_c-1","2579","1537","201066_at","."
"CYCS","CYCS","AMPL33088098",1700,1843,1887,1794,1725,1567,1354,2449,0,"cytochrome_c__somatic","19986","54205","208905_at,229415_at,244546_at","THROMBOCYTOPENIA_4__THC4"
"CYFIP1","CYFIP1","AMPL24234804",342,414,248,275,435,386,402,437,0,"cytoplasmic_FMR1_interacting_protein_1","13759","23191","208923_at","."
"CYFIP2","CYFIP2","AMPL1731933",220,210,100,107,173,212,96,102,0,"cytoplasmic_FMR1_interacting_protein_2","13760","26999","215785_s_at,220999_s_at","."
"CYGB","CYGB","AMPL18615517",12,8,6,9,11,6,1,0,0,"cytoglobin","16505","114757","1553572_a_at,226632_at","."
"CYLD","CYLD","AMPL1490939",86,75,71,84,96,87,96,76,1,"cylindromatosis__turban_tumor_syndrome","2584","1540","213295_at,214272_at,221903_s_at,221905_at,222142_at,39582_at,60084_at","BROOKE-SPIEGLER_SYNDROME__BRSS,CYLINDROMATOSIS__FAMILIAL,TRICHOEPITHELIOMA__MULTIPLE_FAMILIAL__1"
"CYP1A1","CYP1A1","AMPL5175693",23,19,10,31,23,29,17,15,0,"cytochrome_P450__family_1__subfamily_A__polypeptide_1","2595","1543","205749_at","."
"CYP1B1","CYP1B1","AMPL1643513",56,41,74,56,60,58,47,31,0,"cytochrome_P450__family_1__subfamily_B__polypeptide_1","2597","1545","202434_s_at,202435_s_at,202436_s_at,202437_s_at","GLAUCOMA_1__OPEN_ANGLE__A__GLC1A,GLAUCOMA_3__PRIMARY_CONGENITAL__A__GLC3A,GLAUCOMA__PRIMARY_OPEN_ANGLE__POAG,PETERS_ANOMALY"
"CYP20A1","CYP20A1","AMPL16193729",119,130,114,112,155,144,106,98,0,"cytochrome_P450__family_20__subfamily_A__polypeptide_1","20576","57404","219565_at","."
"CYP24A1","CYP24A1","AMPL4444588",8419,9435,5037,4655,5997,6377,4768,4711,0,"cytochrome_P450__family_24__subfamily_A__polypeptide_1","2602","1591","206504_at","HYPERCALCEMIA__INFANTILE"
"CYP26A1","CYP26A1","AMPL2807588",13,27,20,18,12,17,30,37,0,"cytochrome_P450__family_26__subfamily_A__polypeptide_1","2603","1592","206424_at","."
"CYP26B1","CYP26B1","AMPL33692430",40,25,67,68,26,40,46,44,0,"cytochrome_P450__family_26__subfamily_B__polypeptide_1","20581","56603","219825_at,234721_s_at","RADIOHUMERAL_FUSIONS_WITH_OTHER_SKELETAL_AND_CRANIOFACIAL_ANOMALIES_"
"CYP27C1","CYP27C1","AMPL2982228",41,29,18,12,24,18,12,14,0,"cytochrome_P450__family_27__subfamily_C__polypeptide_1","33480","339761","1568868_at","."
"CYP2J2","CYP2J2","AMPL4766904",4,4,16,11,8,9,15,6,0,"cytochrome_P450__family_2__subfamily_J__polypeptide_2","2634","1573","205073_at","."
"CYP2R1","CYP2R1","AMPL35165707",32,28,27,26,23,33,37,34,0,"cytochrome_P450__family_2__subfamily_R__polypeptide_1","20580","120227","207786_at,227109_at,239181_at","VITAMIN_D_HYDROXYLATION-DEFICIENT_RICKETS__TYPE_1B__VDDR1B"
"CYP2S1","CYP2S1","AMPL15428567",254,187,269,215,174,149,133,160,0,"cytochrome_P450__family_2__subfamily_S__polypeptide_1","15654","29785","223385_at","."
"CYP2U1","CYP2U1","AMPL20986653",14,15,3,0,7,14,2,7,0,"cytochrome_P450__family_2__subfamily_U__polypeptide_1","20582","113612","1554853_at,226393_at,226402_at","SPASTIC_PARAPLEGIA_56__AUTOSOMAL_RECESSIVE__SPG56"
"CYP4F11","CYP4F11","AMPL6330796",261,145,150,218,168,207,244,183,0,"cytochrome_P450__family_4__subfamily_F__polypeptide_11","13265","57834","206153_at","."
"CYP4F12","CYP4F12","AMPL37162308",17,11,10,10,7,4,12,9,0,"cytochrome_P450__family_4__subfamily_F__polypeptide_12","18857","66002","206539_s_at","."
"CYP4F3","CYP4F3","AMPL8698910",78,70,77,92,58,51,80,49,0,"cytochrome_P450__family_4__subfamily_F__polypeptide_3","2646","4051","206514_s_at,206515_at","."
"CYP4V2","CYP4V2","AMPL21033439",40,27,22,20,23,27,30,22,0,"cytochrome_P450__family_4__subfamily_V__polypeptide_2","23198","285440","226745_at,228391_at","BIETTI_CRYSTALLINE_CORNEORETINAL_DYSTROPHY"
